"id","type","group","sensor","kind","filename_glob","expected_count","original_location_hint","availability","produced_by","required_for","notes","resolved_path"
"wv2_raw_order2","input","satellite_raw","wv2","raster","21OCT19084743-M2AS_R?C1-050132961010_01_P001.TIF","4","Satellite_Data/WV2/050132961010_01/050132961010_01_P001_MUL/","mirrored","ESA Third Party Missions delivery","WV2 east mosaic","2 m. Acquired 2021-10-19 08:47:43. VERIFIED 2026-08-16: 4 MUL tiles R1-R4 x C1, 2.0 m, 4 bands UInt16, EPSG:32734. Matches expected count exactly.","data-in/wv2/raw/050132961010_01/050132961010_01_P001_MUL/"
"wv2_raw_order3","input","satellite_raw","wv2","raster","*050132273010_01_P002*.TIF","0","unknown","unknown_lost","ESA Third Party Missions delivery (existence unconfirmed)","WV2_training_points_extract.R","A THIRD product ID appears only as band names in that script. Either a further delivery or a stale name. Resolve on the server. RESOLVED 2026-08-16: NOT A REAL DELIVERY. The SharePoint archive contains only orders 050132961020 and 050132961010; 050132273010 appears nowhere. Its acquisition stamp (21OCT19084820) is identical to order1, so the band names in WV2_training_points_extract.R are a stale reference to an earlier delivery of the same scene.",""
"wv2_mosaic_16m","derived","satellite_derived","wv2","raster","W_Boravast_1_6_m.TIF","1","Satellite_Data/WV2/1_6_m_mosaic/","unknown_lost","Analysis/Extraction/WV2/Mosaic_tiles.R","WV2 products","Rebuildable from wv2_raw_order1. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"wv2_corrected_16m","derived","satellite_derived","wv2","raster","WV2_Corrected.*","1","Satellite_Data/WV2/1_6_m_mosaic/","external","NO PRODUCER FOUND. Likely co-registered manually in GIS.","WV2 grids VIs training extraction","NO SCRIPT PRODUCES THIS. Co-registration reference for everything. Critical unknown.","/raid/home/gs558/Glenn-Prosopis-ML/data_in/WV2/WV2_Corrected.tif"
"wv2_mosaic_2m","derived","satellite_derived","wv2","raster","E_Boravast_2_m*.TIF","3","Satellite_Data/WV2/2_m_mosaic/","unknown_lost","Analysis/Extraction/WV2/Mosaic_tiles.R and WV2_Coregister.R","merged mosaic","Includes _wide and _wide_Corrected variants. Note .tif vs .TIF inconsistency. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"wv2_merged","derived","satellite_derived","wv2","raster","WV2_merged_corrected*.TIF","2","Satellite_Data/WV2/merged_mosaic/","not_located","Analysis/Extraction/WV2/Mosaic_tiles.R (second half)","WV2 VIs; hex extraction","fun=max and fun=mean variants both written.","/raid/home/gs558/Glenn-Prosopis-ML/data_in/WV2_Wide/WV2_merged_corrected.tif"
"wv2_aoi","input","vector","wv2","vector","WV2_clip*.shp","2","Satellite_Data/WV2/AOI/","external","Hand-digitised in GIS","grid creation; study area","WV2_clip and WV2_clip_wide. Needed to establish the 445 km2 study area. SERVER SCAN 2026-08-16: no .prj sidecar. CRS undeclared.","/raid/home/gs558/Glenn-Prosopis-ML/data_in/WV2/WV2_clip.shp"
"wv2_grids","derived","vector","wv2","vector","*_WV2_grid.shp","8","Satellite_Data/WV2/WV2_Grids/","mirrored","Analysis/Extraction/WV2/WV2_Polygon_Grid_Creation.R","fractional cover extraction","7 sites plus WV2-wide. Rebuildable from wv2_corrected_16m plus drone_aoi_clip.","data-in/wv2/grids/{site}.shp"
"wv2_vi","derived","satellite_derived","wv2","raster","WV2_{MSAVI,MSAVI2,MTVI,NDVI,SAVI}.tif","5","Satellite_Data/WV2/merged_mosaic/ or 1_6_m_mosaic/","not_located","Analysis/Extraction/WV2/WV2_Boravast_VI.R","WV2 predictor stack","Written to merged_mosaic but read from 1_6_m_mosaic. Directory mismatch.","/raid/home/gs558/Glenn-Prosopis-ML/data_in/WV2/WV2_{NDVI,SAVI,MSAVI,MSAVI2,MTVI}.tif"
"wv2_classification_rf","derived","classification","wv2","raster","RF_WV2*.tif","4","Satellite_Data/WV2/1_6_m_mosaic/ and merged_mosaic/","unknown_lost","An earlier Python Random Forest workflow. Not in any R repository.","Figs 8 S10 S11; Table 1","Includes RF_WV2_additional RF_WV2 RF_WV2_Prosopis_only and RF_WV2_all_train_val_combined_b30_additional_WV2_merged_mosaic. SEE OPEN QUESTION 6.1 - the hex extraction behind Table 1 uses these RF products not the mlr3 output. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"wv2_classification_mlr3","derived","classification","wv2","raster","WV2e_Predict_Map*.tif","1","Glenn-Prosopis-ML/data_out/WV2e/","zenodo","Neltuma_Mlr3_Pipeline/scripts/Shortcuts_to_data_specific_analysis/runWV2.R","Fig 6C","On Zenodo as 'Satellite Data Final Classifications.zip'.","/raid/home/gs558/Glenn-Prosopis-ML/data_out/WV2e/WV2e_Predict_Map.tif"
"wv2_train_points_combined","derived","ground","wv2","vector","Boravast_all_train_val_combined_b30_WV2.shp","1","Final_Drone_Survey_Data/","unknown_lost","NO PRODUCER FOUND. Combined and buffered field layer probably made in GIS.","build_ml_df_WV2 field-only baseline","NEEDED FOR THE 6.1% IMPROVEMENT CLAIM. High priority. SERVER SCAN 2026-08-16: absent from every project tree on TESS. CANDIDATE: slade-prosopis/output_data/WV2_train_point_extracted.csv may be this file under a different name. Unverified.",""
"planet_bokspits_monthly","input","satellite_raw","planet","raster","Bokspits_2022_??_??.tif","12","Satellite_Data/Planet/2022_Planetscope/","external","NICFI PlanetScope SuperDove download","Planet VIs and phenology","NICFI SuperDove. Monthly 2022.",""
"planet_boravast_monthly","input","satellite_raw","planet","raster","Boravast_2022_??_??.tif","12","Satellite_Data/Planet/Planet_Scope_Boravast/","external","NICFI PlanetScope SuperDove download","Planet classification","NICFI SuperDove. The 2022-09-09 scene is the one used for classification.",""
"planet_struizendam","derived","satellite_raw","planet","raster","Struizendam_2022_09_07.tif","1","Satellite_Data/Planet/2022_Planetscope/","unknown_lost","legacy_imported/preprocessing/Planet_Struizendam_Merge.R","Struizendam Planet grids","Producible by legacy_imported/preprocessing/Planet_Struizendam_Merge.R. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"planet_corrected","derived","satellite_derived","planet","raster","Boravast_2022_09_09_Corrected.TIF","1","Satellite_Data/Planet/Planet_Scope_Boravast/","unknown_lost","Image_Processing/Planet_WV2_Coregister.R","Planet grids and classification","Manual shift(0,1) applied. See findings 1.x on co-registration. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"planet_grids","derived","vector","planet","vector","*_Planet_grid.shp","8","Satellite_Data/Planet/Planet_Grids/","mirrored","Image_Processing/Planet_Polygon_Grid_Creation.R","fractional cover extraction","Also read from 2022_Planetscope/ and Training_Data/ in different scripts. Three locations for one layer.","data-in/planet/grids/{site}.shp"
"planet_grid_95","derived","vector","planet","vector","Bokspits_1_Planet_Grid_95.shp","1","Satellite_Data/Planet/Training_Data/","unknown_lost","NO PRODUCER FOUND. Read but never written.","Drone_vs_Planet_Grid_Extract_95.R","Capital G. Never written by any script. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"planet_vi","derived","satellite_derived","planet","raster","Boravast_2022_*_{MSAVI,MSAVI2,MTVI,NDVI,SAVI}.tif","60","Satellite_Data/Planet/Planet_Scope_Boravast/","not_located","Image_Processing/Planet_Boravast_VI.R and Planet_NDVI.R","Planet predictor stack","Plus 14 annual summary rasters (Mean SD max MaxoverSD MeanoverSD AprilminusSeptoverSD).",""
"planet_classification","derived","classification","planet","raster","Boravast_2022_09_Predict_Map*.tif","1","Satellite_Data/Planet/","zenodo","Neltuma_Mlr3_Pipeline/scripts/Shortcuts_to_data_specific_analysis/runPlanet.R","Fig 7C","Tagged _30_90 in one script and _400_85 in another. Resolve which is reported.","/raid/home/gs558/Glenn-Prosopis-ML/data_out/Boravast_2022_09/Boravast_2022_09_Predict_Map.tif"
"s2_stack","input","satellite_raw","s2","raster","S2_stack.*","1","Satellite_Data/S2/","external","Sentinel-2 L2A band stack. NO SCRIPT BUILDS IT; assembled externally.","S2 VIs and classification","4 bands blue green red nir. Sentinel-2 L2A 2022-09-07 tile T34JDR.","/raid/home/gs558/Glenn-Prosopis-ML/data_in/../data_out/S2/S2_stack.tif"
"s2_large_stack","input","satellite_raw","s2","raster","S2_Large_stack.*","1","Satellite_Data/S2/","external","Sentinel-2 L2A band stack. NO SCRIPT BUILDS IT; assembled externally.","S2 grids; wider extent","Comment in S2_Polygon_Grid_Creation.R implies this is in WGS84 while everything else is EPSG:32734 and the reprojection line is commented out. CHECK THE CRS.","/raid/home/gs558/Glenn-Prosopis-ML/data_in/S2/S2_Large_stack.tif"
"s2_rededge","input","satellite_raw","s2","raster","T34JDR_20220907T081609_B07_clip.tif","1","Satellite_Data/S2/files/","unknown_lost","Copernicus Sentinel-2 L2A band B07, clipped externally","REVI index","20 m band resampled to 10 m. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"s2_grids","derived","vector","s2","vector","*_S2_grid.shp","8","Satellite_Data/S2/S2_Grids/","mirrored","Analysis/Extraction/S2/S2_Polygon_Grid_Creation.R","fractional cover extraction","7 sites plus WV2-wide.","data-in/s2/grids/{site}.shp"
"s2_vi","derived","satellite_derived","s2","raster","S2_{MSAVI,MSAVI2,MTVI,NDVI,SAVI,REVI}.tif","6","Satellite_Data/S2/","not_located","Analysis/Extraction/S2/S2_Boravast_VI.R and S2_Large_VI.R","S2 predictor stack","S2_Large variants lack REVI.","/raid/home/gs558/Glenn-Prosopis-ML/data_in/S2/S2_{NDVI,SAVI,MSAVI,MSAVI2,MTVI}.tif"
"s2_classification","derived","classification","s2","raster","S2_Predict_Map*.tif","1","Satellite_Data/S2/ and MLR3_classifications/","zenodo","Neltuma_Mlr3_Pipeline/scripts/Shortcuts_to_data_specific_analysis/runS2.R","Fig 7D","Tagged _60_65.","/raid/home/gs558/Glenn-Prosopis-ML/data_out/S2/S2_Predict_Map.tif"
"lst_classification","derived","classification","landsat","raster","LS8_Predict_Map*.tif","2","Satellite_Data/LST/LS8/","external","Neltuma_Mlr3_Pipeline/scripts/Shortcuts_to_data_specific_analysis/runLSTR.R","optional Fig 5 fourth panel","Landsat arm not reported in the manuscript. See open question 6.3. SERVER SCAN 2026-08-16: 7 rasters at multiple purity thresholds. The Landsat arm WAS run. Bears on open question 6.3.","/raid/home/gs558/Glenn-Prosopis-ML/data_out/LS8/LS8_Predict_Map_*.tif"
"trend_images","input","satellite_raw","multi","raster","Trend_Img_NDVI_*.tif","4","Satellite_Data/Trend_Image_Data/{Landsat,S2,WV2,Planet}/","unknown_lost","Probably Google Earth Engine. No producer in any repository.","trend analysis","Referenced only in commented-out code. Likely out of scope. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"hex_grids","derived","vector","multi","vector","hex_*m_wv2_wide_clip*.shp","3","GIS_aggregate/","unknown_lost","legacy_imported/landscape/Hex_Polygon_Grid_Creation_surveys.R","Fig 8; Table 1","100 m 250 m 500 m. CONFIRMS Table S8's 'hexagon' wording over Fig 8B's 'grid cells'. Not produced by any script found. SERVER SCAN 2026-08-16: absent from every project tree on TESS. No hex file of any kind on the machine, and no QGIS project (.qgz/.qgs) either. Fig 8 and Table 1 geometry is unrecoverable from this server.",""
"buffers_settlement","input","vector","multi","vector","1km_concentric_buffers_clipped_border.shp","1","Final_Drone_Survey_Data/Buffers/","unknown_lost","Hand-digitised in GIS","Fig S10","Concentric 1 km buffers around settlements. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"buffers_road","input","vector","multi","vector","1km_concentric_buffers_road_clipped_border.shp","1","Final_Drone_Survey_Data/Buffers/","unknown_lost","Hand-digitised in GIS","Fig S11","Concentric 1 km buffers around main roads. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"train_wv2","derived","training_set","wv2","table","WV2_*equal_class_size*.rds","4","Glenn-Prosopis-ML/data_in/WV2e/ and /WV2/","external","Neltuma_Mlr3_Pipeline/scripts/extract_WV2_pixel.R","build_ml_df_WV2e","THE FIVE-RUNG LADDER. Determining which rung was used resolves open question 6.4.","/raid/home/gs558/Glenn-Prosopis-ML/data_in/WV2e/WV2_equal_class_size_*.rds"
"train_planet","derived","training_set","planet","table","Planet_*equal_class_size*.rds","4","Glenn-Prosopis-ML/data_in/Planet_2022/ and /Planet/","external","Neltuma_Mlr3_Pipeline/scripts/extract_Planet_pixel.R","build_ml_df_Planet_e","Written to Planet_2022 but read from Planet. One path is wrong.","/raid/home/gs558/Glenn-Prosopis-ML/data_in/Planet_2022/Planet_equal_class_size_*.rds"
"train_s2","derived","training_set","s2","table","S2_*equal_class_size*.rds","4","Glenn-Prosopis-ML/data_in/S2/","external","Neltuma_Mlr3_Pipeline/scripts/extract_S2_pixel.R","build_ml_df_S2","Script writes _60_train_65 but reads _400_train_85 which it never produces.","/raid/home/gs558/Glenn-Prosopis-ML/data_in/S2/S2_equal_class_size_*.rds"
"bench_workbooks","derived","results","multi","table","MLR_bench_results_*.xlsx","32","Glenn-Prosopis-ML/data_out/bench/ or /Bench/","external","Neltuma_Mlr3_Pipeline run scripts via benchmark_lrnrs()","Figs 4A 4B 6A 6B","28 drone (7 sites x 4 stacks) plus 4 WV2. THE SOURCE OF EVERY REPORTED ACCURACY. SERVER SCAN 2026-08-16: 49 found against 32 expected. Includes an eighth site (Dinaka), 7 LS8 runs and an ensemble variant.","/raid/home/gs558/Glenn-Prosopis-ML/data_out/Bench/MLR_bench_results_*.xlsx"
"confusion_workbooks","derived","results","multi","table","res.preds_svm_*.xlsx","32","Glenn-Prosopis-ML/data_out/Confusion/","external","Neltuma_Mlr3_Pipeline run scripts via ml_resample()","Fig 4C; class-level accuracies","Note one script reads 're.preds' - a typo variant. SERVER SCAN 2026-08-16: 76 found against 32 expected.","/raid/home/gs558/Glenn-Prosopis-ML/data_out/Confusion/res.preds_*.xlsx"
"bench_master","derived","results","multi","table","bench_master*.xlsx","2","Glenn-Prosopis-ML/data_out/bench/","not_located","Neltuma_Mlr3_Pipeline/scripts/benchmark_analysis_MLR.R","Figs 4A 4B","Also appears as input_data/bench_master_drone.xlsx and _simplified_drone.xlsx.","/raid/home/gs558/Glenn-Prosopis-ML/data_out/Bench/bench_master.xlsx"
"confusion_master","derived","results","multi","table","confusion_master*.xlsx","2","Glenn-Prosopis-ML/data_out/Confusion/","not_located","Neltuma_Mlr3_Pipeline/scripts/confusion_analysis.R","Fig 4C","Also as input_data/confusion_master_simplified_Prosopis.xlsx.","/raid/home/gs558/Glenn-Prosopis-ML/data_out/Confusion/confusion_master.xlsx"
"cover_tables","derived","results","multi","table","Drone_extract_prosopis_cover_*Grid.xlsx","4","slade-prosopis/input_data/","unknown_lost","Analysis/Accuracy/*_Classification_Grid_Extract_Drone*.R","Fig 5","S2 LST Planet WV2 grids. Schemas differ - S2 and LST carry FID and Planet and WV2 do not. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"cover_all","derived","results","multi","table","Prosopis_cover_all.xlsx","1","slade-prosopis/input_data/","unknown_lost","NO PRODUCER FOUND. Compiled by hand.","Fig 5 combined panel","Columns Cover WV2 Planet S2 Landsat. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"cover_resolution_simple","derived","results","multi","table","Drone_extract_prosopis_cover_resolution_simple.xlsx","1","slade-prosopis/input_data/","unknown_lost","NO PRODUCER FOUND. Compiled by hand.","Fig 5 simple density and line panels","Columns Fractional_cover Proportion Sensor_resolution. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"accuracy_assessment","derived","results","multi","table","*Drone_extract_accuracy_assesment.xlsx","3","Glenn-Prosopis-ML/data_out/","unknown_lost","Analysis/Accuracy/{WV2,Planet,S2}_Classification_Grid_Extract_Drone_Accuracy.R","Table S10","WV2 Planet and Sen2 variants. Note the misspelling 'assesment'. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"vegpoly_reflectance","derived","results","drone","table","Vegpoly_DFB1.csv","1","C:/Workspace/R_Scripts/Kgalagadi/output_data/","not_located","Reflectance extraction at field points. Regenerable via build_ml_df(df_type=""point"").","Fig S9","Regenerable via build_ml_df(df_type='point'). A FIFTH project root.","/raid/home/gs558/slade-prosopis/output_data/Vegpoly_DFB1.csv"
"pca_tables","derived","results","multi","table","pca*std.csv","2","data_out/","not_located","Analysis/Extraction/WV2/WV2_training_points_extract.R","Fig S8","pca2std.csv is READ from an output directory. Provenance unclear.","/raid/home/gs558/slade-prosopis/output_data/pca_pcrcomp_std.csv"
"camel_thorn_counts","derived","results","drone","table","temp.xlsx","1","C:/Workspace/R_Scripts/slade-prosopis/output_data/","unknown_lost","HAND-EDITED spreadsheet. Not reproducible as-is.","the 63% co-occurrence claim","HAND-EDITED intermediate. The 63% and 27% are hardcoded plot annotations not computed values. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"python_rf_confusion","derived","results","drone","table","*_RF*_conf_matrix.csv","14","RF/Python/{SITE}/","unknown_lost","An earlier Python Random Forest workflow. Not in any R repository.","Confusion_Metrics Rmd suite","Predates the mlr3 workflow. Likely superseded and out of scope. SERVER SCAN 2026-08-16: absent from every project tree on TESS.",""
"rainfall_agromet","input","context","na","table","Botswana Rainfall_Agromet Data 1921-2008.xlsx","1","Analysis/Data/","in_repo","Botswana Department of Meteorological Services","none found","Present in repo but referenced by NO script.",""
"rainfall_synoptic","input","context","na","table","Botswana Rainfall_Synoptic Weather Stations Data 2008-2024.xlsx","1","Analysis/Data/","in_repo","Botswana Department of Meteorological Services","none found","Present in repo but referenced by NO script.",""
"wv2_raw_pan","input","satellite_raw","wv2","raster","*-P2AS_R?C?-0501329610?0_01_P001.TIF","19","Satellite_Data/WV2/{order}_01/{order}_01_P001_PAN/","mirrored","ESA Third Party Missions delivery","nothing currently - no script reads the PAN tiles","ADDED 2026-08-16. Panchromatic tiles shipped with both WV2 orders (15 + 4) but were never recorded in the manifest. 0.4 m, 1 band UInt16, EPSG:32734. No code uses them; pan-sharpening was possible but appears not to have been done.","data-in/wv2/raw/{order}_01/{order}_01_P001_PAN/"
"veg_type_lookup","input","ground","na","table","Veg_type_lookup_list.xlsx","1","R_Scripts/Glenn-Prosopis-ML/data_in/","mirrored","hand-maintained","build_ml_df class join (legacy path only)","SUPERSEDED by inst/config/classes.json. Mirrored for provenance only. R/classes.R::assert_not_legacy_lookup() guards against reading it. See the header-row trap in docs/server-handover.md.","data-in/shared/veg_type_lookup.xlsx"
